,AFFGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.1,LSAD,ALAND,AWATER,AREA,PERIMETER,CAABA_,CAABA_ID,NAME.2,Total,White,Black,AIndian,Asian,Hawaiian,Max,residuals,div,Diversity,mean.partmat
1549,1400000US06037531301,6,37,531301,6037531301,5313.01,CT,792708,0,18037550502,1379632.843,19,18,South Coast,5661,2801,55,0,21,0,2801,71.76804946,0.494788907,0.505211093,11.16630439
1585,1400000US06037533107,6,37,533107,6037533107,5331.07,CT,345829,0,18037550502,1379632.843,19,18,South Coast,3672,2875,98,4,52,0,2875,156.4355802,0.78295207,0.21704793,11.16924973
1614,1400000US06037534203,6,37,534203,6037534203,5342.03,CT,753166,11524,18037550502,1379632.843,19,18,South Coast,3380,2654,42,0,27,13,2654,-78.45701796,0.785207101,0.214792899,10.95339753
1637,1400000US06037535503,6,37,535503,6037535503,5355.03,CT,317379,0,18037550502,1379632.843,19,18,South Coast,2518,1337,0,0,0,0,1337,-1405.876467,0.530976966,0.469023034,11.1426819
1669,1400000US06037540902,6,37,540902,6037540902,5409.02,CT,2515149,1031,18037550502,1379632.843,19,18,South Coast,4993,1493,2981,25,0,0,2981,-510.3436983,0.59703585,0.40296415,11.23489531
1701,1400000US06037543201,6,37,543201,6037543201,5432.01,CT,1006563,3872,18037550502,1379632.843,19,18,South Coast,3933,1293,1615,25,20,0,1615,-1049.22386,0.410628019,0.589371981,11.06829184
1715,1400000US06037543604,6,37,543604,6037543604,5436.04,CT,2603075,24156,18037550502,1379632.843,19,18,South Coast,5907,2489,137,16,2014,66,2489,-219.8892176,0.421364483,0.578635517,10.99408376
1747,1400000US06037551502,6,37,551502,6037551502,5515.02,CT,1101056,0,18037550502,1379632.843,19,18,South Coast,4518,2791,25,13,277,0,2791,54.32558617,0.617751217,0.382248783,10.82372755
1781,1400000US06037554002,6,37,554002,6037554002,5540.02,CT,1269668,0,18037550502,1379632.843,19,18,South Coast,5475,1895,492,0,752,65,1895,-725.8200687,0.346118721,0.653881279,10.61061722
1802,1400000US06037554518,6,37,554518,6037554518,5545.18,CT,1742297,58229,18037550502,1379632.843,19,18,South Coast,5413,1118,237,9,3569,0,3569,-1566.081007,0.659338629,0.340661371,9.975427929
1817,1400000US06037555211,6,37,555211,6037555211,5552.11,CT,793308,0,18037550502,1379632.843,19,18,South Coast,5524,3759,26,10,321,21,3759,1022.573668,0.680485156,0.319514844,9.92305846
1835,1400000US06037570602,6,37,570602,6037570602,5706.02,CT,1042498,0,18037550502,1379632.843,19,18,South Coast,6695,2538,761,0,1483,18,2538,-16.08598127,0.379088872,0.620911128,10.69097921
1887,1400000US06037574202,6,37,574202,6037574202,5742.02,CT,1336503,3008,18037550502,1379632.843,19,18,South Coast,2249,1671,117,9,50,6,1671,-1042.85086,0.742996888,0.257003112,10.42932261
1921,1400000US06037576502,6,37,576502,6037576502,5765.02,CT,307615,0,18037550502,1379632.843,19,18,South Coast,4955,2116,1163,85,420,0,2116,-338.3569733,0.427043391,0.572956609,10.46293391
1943,1400000US06037600100,6,37,600100,6037600100,6001,CT,757581,0,18037550502,1379632.843,19,18,South Coast,6849,2020,2996,19,0,48,2996,20.37753334,0.437436122,0.562563878,11.41128389
1991,1400000US06037602403,6,37,602403,6037602403,6024.03,CT,585730,0,18037550502,1379632.843,19,18,South Coast,5419,2784,882,8,601,129,2784,259.931954,0.513747924,0.486252076,11.49055484
2060,1400000US06037650102,6,37,650102,6037650102,6501.02,CT,852348,0,18037550502,1379632.843,19,18,South Coast,2123,1139,59,8,703,0,1139,-1589.239622,0.536504946,0.463495054,11.38025237
2070,1400000US06037650701,6,37,650701,6037650701,6507.01,CT,2006328,0,18037550502,1379632.843,19,18,South Coast,2382,1420,5,13,789,14,1420,-1321.636056,0.596137699,0.403862301,11.23947342
2115,1400000US06037700801,6,37,700801,6037700801,7008.01,CT,1454766,0,18037550502,1379632.843,19,18,South Coast,5596,4702,85,27,506,0,4702,1980.210513,0.840243031,0.159756969,12.27460337
2127,1400000US06037701502,6,37,701502,6037701502,7015.02,CT,610195,0,18037550502,1379632.843,19,18,South Coast,4109,2892,203,27,487,0,2892,199.4842017,0.703820881,0.296179119,12.53935421
2239,1400000US06037920336,6,37,920336,6037920336,9203.36,CT,1656822,967,18037550502,1379632.843,19,18,South Coast,6198,3934,134,91,136,0,3934,1224.366536,0.634720878,0.365279122,9.616372172
2287,1400000US06059011200,6,59,11200,6059011200,112,CT,1671680,0,18037550502,1379632.843,19,18,South Coast,3911,2596,43,110,302,0,2596,-136.2089359,0.663768857,0.336231143,9.328885859
2295,1400000US06059011601,6,59,11601,6059011601,116.01,CT,1169185,0,18037550502,1379632.843,19,18,South Coast,7848,3332,357,66,451,0,3332,677.6888465,0.424566769,0.575433231,9.018771201
2305,1400000US06059011716,6,59,11716,6059011716,117.16,CT,1548521,0,18037550502,1379632.843,19,18,South Coast,5531,2813,0,0,1904,0,2813,70.12353344,0.508587959,0.491412041,9.594464688
2342,1400000US06059021920,6,59,21920,6059021920,219.2,CT,5051618,171075,18037550502,1379632.843,19,18,South Coast,6674,4542,34,33,1507,110,4542,1807.558325,0.680551393,0.319448607,9.391533648
2431,1400000US06059052408,6,59,52408,6059052408,524.08,CT,3777652,130730,18037550502,1379632.843,19,18,South Coast,6135,4946,37,139,700,0,4946,2212.302571,0.806193969,0.193806031,7.457768952
2541,1400000US06059074003,6,59,74003,6059074003,740.03,CT,3600726,17402,18037550502,1379632.843,19,18,South Coast,3918,1642,26,98,392,0,1642,-1094.426332,0.419091373,0.580908627,8.178725415
2551,1400000US06059074110,6,59,74110,6059074110,741.1,CT,816884,0,18037550502,1379632.843,19,18,South Coast,4123,1799,112,39,1565,0,1799,-916.0912703,0.436332767,0.563667233,8.285286318
2566,1400000US06059074801,6,59,74801,6059074801,748.01,CT,861320,0,18037550502,1379632.843,19,18,South Coast,6297,1967,64,29,103,0,1967,-759.9992116,0.31237097,0.68762903,8.326141449
2585,1400000US06059075405,6,59,75405,6059075405,754.05,CT,884092,0,18037550502,1379632.843,19,18,South Coast,3212,2314,49,8,312,0,2314,-416.7204432,0.720423412,0.279576588,8.401742155
2631,1400000US06059086402,6,59,86402,6059086402,864.02,CT,1250222,0,18037550502,1379632.843,19,18,South Coast,5960,4647,133,0,504,0,4647,1937.118454,0.779697987,0.220302013,8.906878829
2682,1400000US06059088107,6,59,88107,6059088107,881.07,CT,1256844,0,18037550502,1379632.843,19,18,South Coast,6361,2242,15,5,3350,0,3350,-497.1552349,0.526646754,0.473353246,8.623937285
2696,1400000US06059088702,6,59,88702,6059088702,887.02,CT,1413868,0,18037550502,1379632.843,19,18,South Coast,5949,1648,6,22,3432,143,3432,-1093.387974,0.576903681,0.423096319,8.522845102
2723,1400000US06059099224,6,59,99224,6059099224,992.24,CT,1278851,0,18037550502,1379632.843,19,18,South Coast,3365,1626,0,0,1524,0,1626,-1116.876467,0.48320951,0.51679049,8.49685817
2745,1400000US06059099248,6,59,99248,6059099248,992.48,CT,607380,0,18037550502,1379632.843,19,18,South Coast,5415,1899,64,5,1371,0,1899,-827.9992116,0.350692521,0.649307479,8.385184823
